spp	fst	flam
1	1	0.7
2	1	0.5
3	1	0.5
4	1	0.4
5	1	0.5
6	1	0.5
7	1	0.5
8	1	0.4
9	1	0.4
10	1	0.9
11	1	0.1
12	1	0.15
13	1	0.1
1	2	0.8
2	2	0.6
3	2	0.6
4	2	0.6
5	2	0.5
6	2	0.5
7	2	0.5
8	2	0.4
9	2	0.4
10	2	0.7
11	2	0.1
12	2	0.15
13	2	0.1
1	3	0.8
2	3	0.6
3	3	0.6
4	3	0.6
5	3	0.5
6	3	0.5
7	3	0.5
8	3	0.4
9	3	0.4
10	3	0.9
11	3	0.1
12	3	0.15
13	3	0.1
